timestamp,throughput_mbps
0,10.0
1,10.8
2,11.59
3,12.36
4,13.09
5,13.78
6,14.41
7,14.97
8,15.47
9,15.88
10,16.21
11,16.44
12,16.59
13,16.64
14,16.59
15,16.46
16,16.23
17,15.92
18,15.52
19,15.06
20,14.53
21,13.94
22,13.31
23,12.64
24,11.95
25,11.25
26,10.55
27,9.86
28,9.19
29,8.56
30,17.97
31,17.44
32,16.98
33,16.58
34,16.27
35,16.04
36,15.91
37,15.86
38,15.91
39,16.06
40,16.29
41,16.62
42,17.03
43,17.53
44,18.09
45,18.72
46,19.41
47,20.14
48,20.91
49,21.7
50,12.5
51,13.3
52,14.09
53,14.86
54,15.59
55,16.28
56,16.91
57,17.47
58,17.97
59,18.38
60,18.71
61,18.94
62,19.09
63,19.14
64,19.09
65,18.96
66,18.73
67,18.42
68,18.02
69,17.56
70,17.03
71,16.44
72,15.81
73,15.14
74,14.45
75,13.75
76,13.05
77,12.36
78,11.69
79,11.06
80,20.47
81,19.94
82,19.48
83,19.08
84,18.77
85,18.54
86,18.41
87,18.36
88,18.41
89,18.56
90,18.79
91,19.12
92,19.53
93,20.03
94,20.59
95,21.22
96,21.91
97,22.64
98,23.41
99,24.2
100,15.0
101,15.8
102,16.59
103,17.36
104,18.09
105,18.78
106,19.41
107,19.97
108,20.47
109,20.88
110,21.21
111,21.44
112,21.59
113,21.64
114,21.59
115,21.46
116,21.23
117,20.92
118,20.52
119,20.06
120,19.53
121,18.94
122,18.31
123,17.64
124,16.95
125,16.25
126,15.55
127,14.86
128,14.19
129,13.56
130,22.97
131,22.44
132,21.98
133,21.58
134,21.27
135,21.04
136,20.91
137,20.86
138,20.91
139,21.06
140,21.29
141,21.62
142,22.03
143,22.53
144,23.09
145,23.72
146,24.41
147,15.14
148,15.91
149,16.7
150,17.5
151,18.3
152,19.09
153,19.86
154,20.59
155,21.28
156,21.91
157,22.47
158,22.97
159,23.38
160,23.71
161,23.94
162,24.09
163,24.14
164,24.09
165,23.96
166,23.73
167,23.42
168,23.02
169,22.56
170,22.03
171,21.44
172,20.81
173,20.14
174,19.45
175,18.75
176,18.05
177,17.36
178,16.69
179,16.06
180,15.47
181,24.94
182,24.48
183,24.08
184,23.77
185,23.54
186,23.41
187,23.36
188,23.41
189,23.56
190,23.79
191,24.12
192,24.53
193,15.03
194,15.59
195,16.22
196,16.91
197,17.64
198,18.41
199,19.2
